AA,85.20%,73.40%,63.80%,55.90%,49.20%,43.50%,38.70%,34.60%
KK,82.40%,68.90%,58.20%,49.80%,43.00%,37.40%,32.90%,29.20%
QQ,79.90%,64.90%,53.50%,44.70%,37.90%,32.50%,28.30%,24.90%
JJ,77.50%,61.20%,49.20%,40.30%,33.60%,28.50%,24.60%,21.70%
TT,75.00%,57.60%,45.20%,36.30%,29.90%,25.20%,21.70%,19.10%
99,72.00%,53.60%,41.10%,32.60%,26.60%,22.40%,19.40%,17.20%
88,69.10%,49.90%,37.60%,29.50%,24.00%,20.30%,17.70%,15.90%
77,66.20%,46.50%,34.40%,26.80%,21.90%,18.60%,16.40%,14.80%
66,63.30%,43.20%,31.50%,24.50%,20.10%,17.30%,15.40%,14.00%
55,60.30%,40.10%,28.90%,22.40%,18.50%,16.10%,14.40%,13.20%
44,57.00%,36.80%,26.30%,20.60%,17.30%,15.20%,13.90%,12.90%
33,53.70%,33.60%,24.00%,19.00%,16.30%,14.60%,13.50%,12.70%
22,50.30%,30.70%,21.90%,17.70%,15.50%,14.10%,13.20%,12.50%
AK,64.90%,47.90%,38.40%,32.14%,27.80%,24.30%,21.50%,19.20%
AQ,64.00%,46.40%,36.50%,30.20%,25.70%,22.30%,19.60%,17.40%
AJ,63.00%,45.00%,34.90%,28.50%,24.00%,20.70%,18.00%,15.90%
AT,62.00%,43.70%,33.40%,27.00%,22.60%,19.30%,16.80%,14.80%
A9,60.00%,40.80%,30.40%,24.10%,19.80%,16.60%,14.30%,12.50%
A8,58.90%,39.60%,29.10%,22.90%,18.70%,15.70%,13.40%,11.60%
A7,57.70%,38.20%,27.90%,21.70%,17.70%,14.80%,12.60%,11.00%
A6,56.40%,36.80%,26.60%,20.70%,16.80%,14.10%,12.00%,10.50%
A5,56.30%,37.00%,27.00%,21.10%,17.30%,14.60%,12.50%,11.00%
A4,55.30%,36.00%,26.20%,20.50%,16.80%,14.20%,12.20%,10.70%
A3,54.50%,35.10%,25.40%,19.90%,16.30%,13.80%,12.00%,10.50%
A2,53.60%,34.20%,24.60%,19.20%,15.70%,13.40%,11.60%,10.20%
KQ,60.90%,44.00%,34.90%,29.00%,24.90%,21.60%,19.00%,16.80%
KJ,59.90%,42.60%,33.30%,27.40%,23.20%,20.00%,17.50%,15.50%
KT,59.00%,41.30%,31.90%,26.00%,21.90%,18.80%,16.40%,14.40%
K9,57.00%,38.60%,29.00%,23.10%,19.10%,16.20%,13.90%,12.10%
K8,55.00%,36.10%,26.50%,20.80%,17.00%,14.30%,12.20%,10.50%
K7,54.00%,35.00%,25.50%,19.90%,16.10%,13.50%,11.50%,9.90%
K6,52.90%,33.80%,24.40%,19.00%,15.40%,12.80%,10.90%,9.50%
K5,51.90%,32.90%,23.60%,18.30%,14.80%,12.30%,10.50%,9.10%
K4,50.90%,31.90%,22.80%,17.60%,14.30%,12.00%,10.20%,8.90%
K3,50%,31.00%,22.00%,17.20%,14.00%,11.70%,10.00%,8.80%
K2,49.10%,30.20%,21.50%,16.70%,13.60%,11.40%,9.90%,8.60%
QJ,57.40%,40.90%,32.20%,26.60%,22.60%,19.50%,17.00%,15.10%
QT,56.50%,39.60%,30.90%,25.30%,21.30%,18.30%,16.00%,14.10%
Q9,54.50%,36.90%,28.00%,22.40%,18.60%,15.80%,13.60%,11.90%
Q8,52.60%,34.50%,25.60%,20.20%,16.50%,13.90%,11.90%,10.30%
Q7,50.50%,32.20%,23.30%,18.10%,14.70%,12.20%,10.40%,8.90%
Q6,49.70%,31.30%,22.50%,17.40%,14.00%,11.60%,9.90%,8.50%
Q5,48.60%,30.30%,21.60%,16.70%,13.50%,11.10%,9.40%,8.20%
Q4,47.70%,29.40%,21.00%,16.10%,13.00%,10.80%,9.20%,8.00%
Q3,46.80%,28.60%,20.30%,15.60%,12.60%,10.50%,9.00%,7.90%
Q2,45.90%,27.80%,19.60%,15.10%,12.30%,10.30%,8.80%,7.80%
JTs,56.20%,40.70%,32.60%,27.40%,23.70%,20.80%,18.60%,16.80%
JT,54.40%,38.50%,30.20%,24.90%,21.10%,18.20%,15.90%,14.10%
J9,52.30%,35.70%,27.40%,22.10%,18.40%,15.70%,13.60%,12.00%
J8,50.40%,33.40%,25.10%,19.90%,16.40%,13.80%,11.90%,10.40%
J7,48.40%,31.20%,22.80%,17.90%,14.50%,12.10%,10.30%,9.00%
J6,46.40%,28.90%,20.80%,16.00%,12.90%,10.60%,9.00%,7.80%
J5,45.60%,28.20%,20.10%,15.50%,12.40%,10.20%,8.60%,7.40%
J4,44.60%,27.30%,19.40%,14.90%,12.00%,9.90%,8.40%,7.30%
J3,43.80%,26.50%,18.80%,14.40%,11.60%,9.60%,8.30%,7.20%
J2,42.80%,25.70%,18.20%,14.00%,11.30%,9.50%,8.10%,7.10%
T9,50.50%,35.00%,27.10%,22.10%,18.50%,15.80%,13.80%,12.20%
T8,48.50%,32.70%,24.90%,19.90%,16.50%,14.00%,12.10%,10.70%
T7,46.50%,30.50%,22.70%,17.90%,14.70%,12.40%,10.60%,9.30%
T6,44.60%,28.30%,20.70%,16.10%,13.00%,10.80%,9.20%,8.00%
T5,42.60%,26.20%,18.80%,14.40%,11.50%,9.50%,8.00%,6.90%
T4,41.80%,25.60%,18.20%,13.90%,11.20%,9.20%,7.80%,6.80%
T3,40.90%,24.80%,17.60%,13.50%,10.80%,9.00%,7.60%,6.60%
T2,40.10%,24.00%,17.00%,13.00%,10.50%,8.80%,7.50%,6.50%
98,46.80%,32.00%,24.50%,19.70%,16.30%,13.90%,12.10%,10.70%
97,44.80%,29.90%,22.60%,17.90%,14.80%,12.50%,10.90%,9.60%
96,42.90%,27.80%,20.60%,16.20%,13.20%,11.10%,9.60%,8.40%
95,40.90%,25.80%,18.70%,14.40%,11.60%,9.70%,8.30%,7.30%
94,38.90%,23.80%,17.00%,12.90%,10.30%,8.50%,7.20%,6.30%
93,38.30%,23.20%,16.40%,12.50%,10.00%,8.30%,7.00%,6.10%
92,37.40%,22.50%,15.80%,12.10%,9.70%,8.10%,6.90%,6.00%
87,43.40%,29.70%,22.60%,18.10%,15.00%,12.80%,11.20%,10.00%
86,41.50%,27.70%,20.80%,16.50%,13.60%,11.60%,10.10%,9.00%
85,39.60%,25.70%,18.90%,14.80%,12.10%,10.20%,8.90%,7.90%
84,37.50%,23.70%,17.10%,13.20%,10.70%,9.00%,7.80%,6.80%
83,35.60%,21.80%,15.40%,11.80%,9.40%,7.80%,6.70%,5.90%
82,35.00%,21.20%,15.00%,11.40%,9.20%,7.60%,6.60%,5.70%
76,40.40%,27.70%,30.00%,16.70%,13.90%,11.90%,10.50%,9.50%
75,38.50%,25.80%,19.20%,15.30%,12.60%,10.80%,9.50%,8.50%
74,36.50%,23.80%,17.50%,13.70%,11.30%,9.60%,8.40%,7.50%
73,34.60%,21.90%,15.80%,12.20%,9.90%,8.40%,7.30%,6.50%
72,32.60%,20.00%,14.10%,10.80%,8.70%,7.30%,6.30%,5.50%
65,37.80%,26.00%,19.50%,15.60%,13.10%,11.30%,10.00%,9.10%
64,35.90%,24.10%,18.00%,14.30%,11.90%,10.30%,9.10%,8.20%
63,34.00%,22.20%,16.20%,12.70%,10.60%,9.10%,8.00%,7.20%
62,32.00%,20.40%,14.60%,11.30%,9.30%,7.90%,6.90%,6.20%
54,36.00%,24.70%,18.50%,14.90%,12.50%,10.90%,9.70%,8.80%
53,34.00%,22.90%,17.00%,13.50%,11.30%,9.90%,8.80%,8.00%
52,32.10%,20.10%,15.30%,12.10%,10.10%,8.80%,7.80%,7.00%
43,33.00%,22.10%,16.30%,12.90%,10.90%,9.40%,8.40%,7.60%
42,31.10%,20.20%,14.70%,11.60%,9.70%,8.50%,7.60%,6.80%
32,30.20%,19.40%,14.00%,11.00%,8.30%,8.10%,7.20%,6.50%